ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
73,simple,,Sữa Meiji Ezcube Infant Formula Dạng Viên (432g),1,0,visible,,,,,,,1,,,,,,,,1,,,338000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/0/_/0.u4939.d20171024.t100035.133667.jpg,,,,,,,,,0
76,simple,,Sữa Bột Abbott Similac Eye-Q2 (900g),1,0,visible,,,,,,,1,,,,,,,,1,,,338000,Dinh dưỡng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/7e/94/a8/747eb30c79ce0f8e6ec574822cff2b7a.jpg,,,,,,,,,0
77,simple,,Bộ 2 Bình Nhựa PP Philips Avent 125ml - 560.27,1,0,visible,,,,,,,1,,,,,,,,1,,,338000,Đồ dùng cho bé,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/i/binh-sua-pp-125ml-doi-22496-1.u2409.d20160406.t164112.jpg,,,,,,,,,0
78,simple,,Tã Quần Huggies Dry Gói Cực Đại L68 (68 Miếng) - Bao Bì Mới,1,0,visible,,,,,,,1,,,,,,,,1,,,279000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/22/fd/9e/37f0e2c2556d4ec5788756bb0e412395.jpg,,,,,,,,,0
79,simple,,Miếng Lót Sơ Sinh Huggies Dry Newborn 1 - 100 (100 Miếng) - Tặng Kèm 12 Miếng,1,0,visible,,,,,,,1,,,,,,,,1,,,119000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/57/c8/7c/49a58f742115789ff7e9b46534dd24b2.jpg,,,,,,,,,0
80,simple,,Combo 3 Gói Tã Dán Huggies Dry Gói Cực Đại M76 (76 Miếng) - Bao Bì Mới,1,0,visible,,,,,,,1,,,,,,,,1,,,729000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/9f/ce/f6/4d28bc0c0540fb97667084d0a49e654e.jpg,,,,,,,,,0
81,simple,,Tã Dán Bobby Siêu Mỏng Gói Cực Đại L68 (68 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,235000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bobby%20sm-l68.u503.d20160406.t095806.jpg,,,,,,,,,0
82,simple,,Combo 3 Gói Tã Quần Bobby Gói Cực Đại M60 (60 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,719000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bobby-tq-m60_1.u3059.d20170801.t170028.723474.jpg,,,,,,,,,0
83,simple,,Tã Quần Bobby Gói Cực Đại L54 (54 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,239000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/15/18/7a/5e4693aa5f5dd036fb4eda5d25ca85ed.jpg,,,,,,,,,0
84,simple,,Tã Dán Bobby Extra Soft Gói Đại L30 (30 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,159000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/1f/e8/d4/24b70c6c8e7f21d9ed629bd22a85c07c.jpg,,,,,,,,,0
85,simple,,Miếng Lót Sơ Sinh Bobby Fresh Newborn 1 - 56 (56 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,67000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/1a/da/af/a90d4d82ca985c7827173e21d7d1ff39.jpg,,,,,,,,,0
86,simple,,Tã Quần Moony Bé Trai Gói Đại L (44 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/2d/d6/3f/0ad96918d5a4925b581a4e2ca3b320b7.jpg,,,,,,,,,0
87,simple,,Tã Dán Moony Gói Đại M64 (64 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/fb/b8/5e/be7511ec2e39833f37b8032ad8e593b8.jpg,,,,,,,,,0
88,simple,,Tã Dán Moony Gói Cực Đại S84 (84 Miếng),1,0,visible,,,,,,,1,,,,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/70/89/74/093338b8b444443f8bab9e1d6cf060e0.jpg,,,,,,,,,0
