ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position
73	simple		S?a Meiji Ezcube Infant Formula D?ng Viên (432g)	1	0	visible							1								1			338000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/0/_/0.u4939.d20171024.t100035.133667.jpg									0
76	simple		S?a B?t Abbott Similac Eye-Q2 (900g)	1	0	visible							1								1			338000	Dinh d??ng cho bé			https://vcdn.tikicdn.com/cache/w1200/ts/product/7e/94/a8/747eb30c79ce0f8e6ec574822cff2b7a.jpg									0
77	simple		B? 2 Bình Nh?a PP Philips Avent 125ml - 560.27	1	0	visible							1								1			338000	?? dùng cho bé			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/i/binh-sua-pp-125ml-doi-22496-1.u2409.d20160406.t164112.jpg									0
78	simple		Tã Qu?n Huggies Dry Gói C?c ??i L68 (68 Mi?ng) - Bao Bì M?i	1	0	visible							1								1			279000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/22/fd/9e/37f0e2c2556d4ec5788756bb0e412395.jpg									0
80	simple		Mi?ng Lót S? Sinh Huggies Dry Newborn 1 - 100 (100 Mi?ng) - T?ng Kèm 12 Mi?ng	1	0	visible							1								1			119000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/57/c8/7c/49a58f742115789ff7e9b46534dd24b2.jpg									0
81.6	simple		Combo 3 Gói Tã Dán Huggies Dry Gói C?c ??i M76 (76 Mi?ng) - Bao Bì M?i	1	0	visible							1								1			729000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/9f/ce/f6/4d28bc0c0540fb97667084d0a49e654e.jpg									0
83.2	simple		Tã Dán Bobby Siêu M?ng Gói C?c ??i L68 (68 Mi?ng)	1	0	visible							1								1			235000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bobby%20sm-l68.u503.d20160406.t095806.jpg									0
84.8	simple		Combo 3 Gói Tã Qu?n Bobby Gói C?c ??i M60 (60 Mi?ng)	1	0	visible							1								1			719000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bobby-tq-m60_1.u3059.d20170801.t170028.723474.jpg									0
86.4	simple		Tã Qu?n Bobby Gói C?c ??i L54 (54 Mi?ng)	1	0	visible							1								1			239000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/15/18/7a/5e4693aa5f5dd036fb4eda5d25ca85ed.jpg									0
88	simple		Tã Dán Bobby Extra Soft Gói ??i L30 (30 Mi?ng)	1	0	visible							1								1			159000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/1f/e8/d4/24b70c6c8e7f21d9ed629bd22a85c07c.jpg									0
89.6	simple		Mi?ng Lót S? Sinh Bobby Fresh Newborn 1 - 56 (56 Mi?ng)	1	0	visible							1								1			67000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/1a/da/af/a90d4d82ca985c7827173e21d7d1ff39.jpg									0
91.2	simple		Tã Qu?n Moony Bé Trai Gói ??i L (44 Mi?ng)	1	0	visible							1								1			359000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/2d/d6/3f/0ad96918d5a4925b581a4e2ca3b320b7.jpg									0
92.8	simple		Tã Dán Moony Gói ??i M64 (64 Mi?ng)	1	0	visible							1								1			359000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/fb/b8/5e/be7511ec2e39833f37b8032ad8e593b8.jpg									0
