ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
537,simple,,Tã Dán Moony Gói Đại M64 (64 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/fb/b8/5e/be7511ec2e39833f37b8032ad8e593b8.jpg,,,,,,,,,0
538,simple,,Tã Dán Moony Gói Đại L54 (54 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/7e/2e/21/6cf2488122a0f2f9747eab88bf1301b9.jpg,,,,,,,,,0
539,simple,,Tã Quần Moony Bé Trai Gói Đại XL (38 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/86/24/41/83a68d458f929cf0612b61526d9174da.jpg,,,,,,,,,0
540,simple,,Tã Quần Moony Bé Gái Gói Đại L(44 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,359000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/c3/4a/f0/c51b385b785cd92eab93e751b8192db4.jpg,,,,,,,,,0
541,simple,,Combo 3 Tã Quần Goo.n Friend Gói Cực Đại XL42 (42 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,579000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/99/01/ee/8366cccb0fd915b13740fbcff39a8333.jpg,,,,,,,,,0
542,simple,,Tã Quần Goo.n Friend Gói Cực Đại XXL34 (34 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,199000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/7d/62/b0/1e9c18264c8d5a328a624e566967b2f2.jpg,,,,,,,,,0
543,simple,,Tã Quần Goo.n Friend Gói Cực Đại XL42 (42 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,199000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/7a/62/91/4e42895d787770210d5f594ccfa05e38.jpg,,,,,,,,,0
544,simple,,Tã Quần Goo.n Friend Gói Cực Đại L48 (48 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,199000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/c0/c5/69/15aaaaf94fc0c2297587c86c5dc9695b.jpg,,,,,,,,,0
545,simple,,Combo 3 Gói Tã Quần Goo.n Slim Gói Cực Đại L48 (48 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,874000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/fa/18/f6/1b6af68c79733bbebb93e8f91ad0dc53.jpg,,,,,,,,,0
546,simple,,Tã Dán Bobby Siêu Mỏng Gói Cực Đại L68 (68 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,235000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bobby%20sm-l68.u503.d20160406.t095806.jpg,,,,,,,,,0
547,simple,,Combo 3 Gói Tã Quần Bobby Gói Cực Đại M60 (60 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,719000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/b/o/bobby-tq-m60_1.u3059.d20170801.t170028.723474.jpg,,,,,,,,,0
548,simple,,Tã Dán Bobby Extra Soft Gói Đại L30 (30 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,159000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/ts/product/1f/e8/d4/24b70c6c8e7f21d9ed629bd22a85c07c.jpg,,,,,,,,,0
549,simple,,Tã Quần Goodry PGDM42TS Gói Lớn M42 (42 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,175000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/2/6/26_pgdm42ts.u2769.d20170517.t220112.725581.jpg,,,,,,,,,0
550,simple,,Miếng Lót Sơ Sinh Goodry 1 (56 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,58000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/7/-/7-dgd156nm.u2409.d20170413.t091119.237487.jpg,,,,,,,,,0
551,simple,,Tã Dán Goodry DGDL38NM L38 (38 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,125000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/4/14_dgdl38nm.u2769.d20170517.t213702.808613.jpg,,,,,,,,,0
552,simple,,Tã Quần Goodry Utrathin Siêu Mỏng PGUX18NM XL18 (18 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,126000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/3/2/32_pgux18nm.u2769.d20170517.t221009.211134.jpg,,,,,,,,,0
553,simple,,Tã Dán Goodry Size S32 (32 Miếng),1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,84000,Tã/Bỉm,,,https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/2/1/21-dgds32nm.u2409.d20170413.t100304.944059.jpg,,,,,,,,,0
