ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Backorders allowed?	Sold individually?	Weight (g)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Meta: _wp_desired_post_slug	Meta: _customize_changeset_uuid
397	simple		Mi?ng Lót S? Sinh Bobby Fresh Newborn 2 - 60 (60 Mi?ng)	1	0	visible					taxable		1		0	0					1			99000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/96/43/37/822fca4e20e41ea98bf03b809ddf0fde.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
398	simple		Tã Qu?n Goo.n Slim Gói ??i XXL20 (20 Mi?ng)	1	0	visible					taxable		1		0	0					1			149000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/31/92/58/fa40d968b4e5680a3318572e54a8fd9a.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
399	simple		Combo 3 Tã Qu?n Goo.n Friend Gói C?c ??i XL42 (42 Mi?ng)	1	0	visible					taxable		1		0	0					1			579000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/99/01/ee/8366cccb0fd915b13740fbcff39a8333.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
400	simple		Tã Qu?n Goo.n Friend Gói C?c ??i XXL34 (34 Mi?ng)	1	1	visible					taxable		1		0	0					1			199000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/7d/62/b0/1e9c18264c8d5a328a624e566967b2f2.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
401	simple		Combo 3 Gói Tã Qu?n Goo.n Slim Gói C?c ??i L48 (48 Mi?ng)	1	0	visible					taxable		1		0	0					1			874000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/fa/18/f6/1b6af68c79733bbebb93e8f91ad0dc53.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
402	simple		Mi?ng Lót S? Sinh Huggies Dry Newborn 1 - 100 (100 Mi?ng) - T?ng Kèm 12 Mi?ng	1	1	visible					taxable		1		0	0					1			119000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/57/c8/7c/49a58f742115789ff7e9b46534dd24b2.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
403	simple		Combo 3 Gói Tã Qu?n Huggies Dry Gói C?c ??i L68 (68 Mi?ng) - Bao Bì M?i	1	1	visible					taxable		1		0	0					1			839000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/1/_/1.u5505.d20170826.t021625.528038.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
404	simple		Tã Qu?n Huggies Dry Gói C?c ??i L68 (68 Mi?ng) - Bao Bì M?i	1	1	visible					taxable		1		0	0					1			279000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/22/fd/9e/37f0e2c2556d4ec5788756bb0e412395.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
405	simple		Combo 3 Gói Tã Qu?n Huggies Dry Gói C?c ??i XXL56 (56 Mi?ng) - Bao Bì M?i	1	0	visible					taxable		1		0	0					1			836000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/b6/5e/79/3f3c36df27c5731d719149bc5d0e5923.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
406	simple		Tã Dán Moony Gói ??i M64 (64 Mi?ng)	1	0	visible					taxable		1		0	0					1			359000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/fb/b8/5e/be7511ec2e39833f37b8032ad8e593b8.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
407	simple		Tã Qu?n Moony Bé Trai Gói ??i XL (38 Mi?ng)	1	0	visible					taxable		1		0	0					1			359000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/86/24/41/83a68d458f929cf0612b61526d9174da.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
408	simple		Tã Qu?n Moony Bé Gái Gói ??i L(44 Mi?ng)	1	0	visible					taxable		1		0	0					1			359000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/c3/4a/f0/c51b385b785cd92eab93e751b8192db4.jpg									0		51793b80-e658-4ad6-a61a-bf96ed3a772a
409	simple		Tã Dán Moony Gói ??i M64 (64 Mi?ng)	1	0	visible					taxable		1		0	0					1			359000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/ts/product/fb/b8/5e/be7511ec2e39833f37b8032ad8e593b8.jpg									0		
410	simple		Tã V?i Dorabe Bo Th?i Trang MBKHIHONG Size M (3-16kg) - Kh? H?ng	1	0	visible					taxable		1		0	0					1			112000	Tã/B?m			https://vcdn.tikicdn.com/cache/w1200/media/catalog/product/m/b/mbkhihong.u2566.d20170404.t153918.702119.jpg									0		
